2022-04-27 08:19:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2053 flow
2022-04-27 08:19:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2053 flow
2022-04-27 08:19:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2053 flow
2022-04-27 08:19:50 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 2056 flow
2022-04-27 08:20:01 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2022-04-27 08:20:01 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\Lenovo\Documents\model\CICFlowMeter-4.0\bin\data\daily\2022-04-27_Flow.csv
2022-04-27 08:20:25 DEBUG cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    break Packet loop
2022-04-27 09:03:11 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2022-04-27 09:07:48 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2022-04-27 09:07:48 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\Lenovo\Documents\model\CICFlowMeter-4.0\bin\data\daily\2022-04-27_Flow.csv
2022-04-27 14:52:36 DEBUG swing.common.SwingUtils    C:\Users\Lenovo\Documents\model\CICFlowMeter-4.0\bin\data (Access is denied)
2022-04-27 14:53:23 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2022-04-27 14:58:04 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2022-04-27 14:58:04 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\Lenovo\Documents\model\CICFlowMeter-4.0\bin\data\daily\2022-04-27_Flow.csv
2022-04-27 14:58:24 DEBUG cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    break Packet loop
